"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","started","Live","Daemon","Total loaded","Shared loaded"
"6:27:57.850 AM, Jan 6, 2021","0.1","0.0","49,283,104","27,155,072","0","28","24","6,291","1,147"
"6:27:58.860 AM, Jan 6, 2021","0.0","0.0","49,283,104","27,155,072","0","28","24","6,291","1,147"
"6:27:59.843 AM, Jan 6, 2021","0.0","0.0","49,283,104","27,155,072","0","28","24","6,291","1,147"
"6:28:00.844 AM, Jan 6, 2021","0.0","0.0","49,283,104","27,155,072","0","28","24","6,291","1,147"
"6:28:01.844 AM, Jan 6, 2021","0.0","0.0","49,283,104","27,155,072","0","28","24","6,291","1,147"
"6:28:02.846 AM, Jan 6, 2021","0.0","0.0","49,283,104","28,203,648","0","28","24","6,291","1,147"
"6:28:03.846 AM, Jan 6, 2021","0.1","0.0","49,283,104","28,203,648","0","28","24","6,291","1,147"
"6:28:04.847 AM, Jan 6, 2021","0.1","0.0","49,283,104","28,203,648","0","28","24","6,292","1,147"
"6:28:05.849 AM, Jan 6, 2021","0.0","0.0","49,283,104","28,203,648","0","28","24","6,292","1,147"
"6:28:06.851 AM, Jan 6, 2021","0.0","0.0","49,283,104","28,203,648","0","28","24","6,292","1,147"
"6:28:07.851 AM, Jan 6, 2021","0.0","0.0","49,283,104","28,203,648","0","28","24","6,292","1,147"
"6:28:08.853 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,252,224","0","28","24","6,292","1,147"
"6:28:09.855 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,252,224","0","28","24","6,292","1,147"
"6:28:10.855 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,252,224","0","28","24","6,292","1,147"
"6:28:11.854 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,252,224","0","28","24","6,292","1,147"
"6:28:12.856 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,252,224","0","28","24","6,292","1,147"
"6:28:13.856 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,300,800","0","28","24","6,292","1,147"
"6:28:14.888 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,300,800","0","28","24","6,292","1,147"
"6:28:15.858 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,300,800","0","28","24","6,292","1,147"
"6:28:16.858 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,300,800","0","28","24","6,292","1,147"
"6:28:17.858 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,300,800","0","28","24","6,292","1,147"
"6:28:18.881 AM, Jan 6, 2021","0.0","0.0","49,283,104","31,349,376","0","28","24","6,292","1,147"
"6:28:19.859 AM, Jan 6, 2021","0.2","0.0","49,283,104","31,349,376","0","28","24","6,292","1,147"
"6:28:20.860 AM, Jan 6, 2021","0.0","0.0","49,283,104","31,349,376","0","28","24","6,292","1,147"
"6:28:21.860 AM, Jan 6, 2021","0.0","0.0","49,283,104","31,349,376","0","28","24","6,292","1,147"
"6:28:22.861 AM, Jan 6, 2021","0.0","0.0","49,283,104","31,349,376","0","28","24","6,292","1,147"
"6:28:23.861 AM, Jan 6, 2021","4.0","0.0","49,283,104","17,521,080","0","28","24","6,545","1,147"
"6:28:24.862 AM, Jan 6, 2021","8.1","0.0","49,283,104","28,006,840","0","28","24","7,042","1,147"
"6:28:25.865 AM, Jan 6, 2021","0.1","0.0","49,283,104","28,006,840","0","28","24","7,042","1,147"
"6:28:26.864 AM, Jan 6, 2021","0.3","0.0","49,283,104","29,055,416","0","28","24","7,042","1,147"
"6:28:27.866 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,055,416","0","28","24","7,042","1,147"
"6:28:28.868 AM, Jan 6, 2021","0.3","0.0","49,283,104","29,055,416","0","28","24","7,042","1,147"
"6:28:29.866 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,055,416","0","28","24","7,042","1,147"
"6:28:30.868 AM, Jan 6, 2021","0.0","0.0","49,283,104","29,055,416","0","28","24","7,042","1,147"
"6:28:31.869 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,103,992","0","28","24","7,042","1,147"
"6:28:32.869 AM, Jan 6, 2021","3.2","0.0","49,283,104","30,103,992","0","28","24","7,042","1,147"
"6:28:33.870 AM, Jan 6, 2021","0.0","0.0","49,283,104","30,103,992","0","28","24","7,042","1,147"
"6:28:34.870 AM, Jan 6, 2021","0.4","0.0","49,283,104","30,103,992","0","28","24","7,042","1,147"
"6:28:35.871 AM, Jan 6, 2021","0.7","0.0","49,283,104","31,152,568","0","28","24","7,058","1,147"
"6:28:36.871 AM, Jan 6, 2021","0.0","0.0","49,283,104","31,152,568","0","28","24","7,058","1,147"
"6:28:37.873 AM, Jan 6, 2021","1.5","0.0","49,283,104","31,152,568","0","28","24","7,058","1,147"
"6:28:38.874 AM, Jan 6, 2021","0.0","0.0","49,283,104","32,201,144","0","28","24","7,058","1,147"
"6:28:39.876 AM, Jan 6, 2021","0.0","0.0","49,283,104","32,201,144","0","28","24","7,058","1,147"
"6:28:40.878 AM, Jan 6, 2021","0.0","0.0","49,283,104","32,201,144","0","28","24","7,058","1,147"
"6:28:41.878 AM, Jan 6, 2021","0.0","0.0","49,283,104","32,201,144","0","28","24","7,058","1,147"
"6:28:42.879 AM, Jan 6, 2021","0.0","0.0","49,283,104","33,249,720","0","28","24","7,058","1,147"
"6:28:43.879 AM, Jan 6, 2021","0.0","0.0","49,283,104","33,249,720","0","28","24","7,058","1,147"
"6:28:44.881 AM, Jan 6, 2021","0.0","0.0","49,283,104","33,249,720","0","28","24","7,058","1,147"
"6:28:45.883 AM, Jan 6, 2021","0.0","0.0","49,283,104","33,249,720","0","28","24","7,058","1,147"
"6:28:46.883 AM, Jan 6, 2021","0.3","0.0","49,283,104","33,249,720","0","28","24","7,058","1,147"
"6:28:47.884 AM, Jan 6, 2021","0.0","0.0","49,283,104","16,642,560","0","28","24","7,058","1,147"
"6:28:48.884 AM, Jan 6, 2021","0.0","0.0","49,283,104","16,642,560","0","28","24","7,058","1,147"
"6:28:49.885 AM, Jan 6, 2021","0.0","0.0","49,283,104","16,642,560","0","28","24","7,058","1,147"
"6:28:50.886 AM, Jan 6, 2021","0.0","0.0","49,283,104","16,642,560","0","28","24","7,058","1,147"
"6:28:51.886 AM, Jan 6, 2021","0.0","0.0","49,283,104","16,642,560","0","28","24","7,058","1,147"
"6:28:52.888 AM, Jan 6, 2021","0.0","0.0","49,283,104","17,691,136","0","28","24","7,058","1,147"
"6:28:53.888 AM, Jan 6, 2021","0.1","0.0","49,283,104","17,691,136","0","28","24","7,058","1,147"
"6:28:54.888 AM, Jan 6, 2021","0.7","0.0","49,283,104","17,691,136","0","28","24","7,058","1,147"
"6:28:55.888 AM, Jan 6, 2021","0.0","0.0","49,283,104","17,691,136","0","28","24","7,058","1,147"
"6:28:56.888 AM, Jan 6, 2021","0.0","0.0","49,283,104","18,739,712","0","28","24","7,058","1,147"
"6:28:57.889 AM, Jan 6, 2021","0.1","0.0","49,283,104","18,739,712","0","28","24","7,058","1,147"
"6:28:58.890 AM, Jan 6, 2021","0.0","0.0","49,283,104","18,739,712","0","28","24","7,058","1,147"
"6:28:59.891 AM, Jan 6, 2021","0.0","0.0","49,283,104","18,739,712","0","28","24","7,058","1,147"
"6:29:00.893 AM, Jan 6, 2021","0.0","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:01.894 AM, Jan 6, 2021","0.1","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:02.894 AM, Jan 6, 2021","0.1","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:03.895 AM, Jan 6, 2021","0.1","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:04.895 AM, Jan 6, 2021","0.0","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:05.896 AM, Jan 6, 2021","0.9","0.0","49,283,104","19,788,288","0","28","24","7,058","1,147"
"6:29:06.897 AM, Jan 6, 2021","0.1","0.0","49,283,104","20,836,864","0","28","24","7,058","1,147"
"6:29:07.897 AM, Jan 6, 2021","0.0","0.0","49,283,104","20,836,864","0","28","24","7,058","1,147"
"6:29:08.898 AM, Jan 6, 2021","0.0","0.0","49,283,104","20,836,864","0","28","24","7,058","1,147"
"6:29:09.899 AM, Jan 6, 2021","0.0","0.0","49,283,104","20,836,864","0","28","24","7,058","1,147"
"6:29:10.900 AM, Jan 6, 2021","0.0","0.0","49,283,104","20,836,864","0","28","24","7,058","1,147"
"6:29:11.900 AM, Jan 6, 2021","0.0","0.0","49,283,104","21,885,440","0","28","24","7,058","1,147"
"6:29:12.902 AM, Jan 6, 2021","0.1","0.0","49,283,104","21,885,440","0","28","24","7,058","1,147"
"6:29:13.903 AM, Jan 6, 2021","1.7","0.0","49,283,104","22,934,016","0","28","24","7,140","1,158"
"6:29:14.904 AM, Jan 6, 2021","2.3","0.0","49,283,104","23,982,592","0","28","24","7,187","1,158"
"6:29:15.909 AM, Jan 6, 2021","0.0","0.0","49,283,104","23,982,592","0","28","24","7,187","1,158"
"6:29:16.907 AM, Jan 6, 2021","0.0","0.0","49,283,104","23,982,592","0","28","24","7,187","1,158"
"6:29:17.908 AM, Jan 6, 2021","0.1","0.0","49,283,104","23,982,592","0","28","24","7,187","1,158"
"6:29:18.906 AM, Jan 6, 2021","0.3","0.0","49,283,104","23,982,592","0","28","24","7,187","1,158"
"6:29:19.908 AM, Jan 6, 2021","0.0","0.0","49,283,104","25,031,168","0","28","24","7,187","1,158"
"6:29:20.908 AM, Jan 6, 2021","0.0","0.0","49,283,104","25,031,168","0","28","24","7,187","1,158"
"6:29:21.911 AM, Jan 6, 2021","0.1","0.0","49,283,104","25,031,168","0","28","24","7,187","1,158"
"6:29:22.918 AM, Jan 6, 2021","0.0","0.0","49,283,104","25,031,168","0","28","24","7,187","1,158"
"6:29:23.914 AM, Jan 6, 2021","3.3","0.0","49,283,104","25,031,168","0","28","24","7,187","1,158"
"6:29:24.997 AM, Jan 6, 2021","0.0","0.0","49,283,104","26,079,744","0","28","24","7,187","1,158"
"6:29:25.919 AM, Jan 6, 2021","0.0","0.0","49,283,104","26,079,744","0","28","24","7,187","1,158"
"6:29:26.936 AM, Jan 6, 2021","0.0","0.0","49,283,104","26,079,744","0","28","24","7,187","1,158"
